1385170,切符,きっぷ,ticket
1579260,昨日,きのう,yesterday
1578150,九,きゅう / く,nine
1231580,牛肉,ぎゅうにく,beef
1231590,牛乳,ぎゅうにゅう,milk
1579110,今日,きょう,today
1237150,教室,きょうしつ,classroom
1249960,兄弟,きょうだい,(humble) siblings
1231690,去年,きょねん,last year
1257240,嫌い,きらい,hate
1384830,切る,きる,to cut
1423000,着る,きる,to put on from the shoulders down
1591900,,きれい,"pretty,clean"
1042610,,キロ/キログラム,kilogram
1042610,,キロ/キロメートル,kilometre
1243490,銀行,ぎんこう,bank
1243320,金曜日,きんようび,Friday
1538160,薬,くすり,medicine
1184270,,ください,please
1193060,果物,くだもの,fruit
1275640,口,くち,"mouth,opening"
1246700,靴,くつ,shoes
1246740,靴下,くつした,socks
1592250,国,くに,country
1592340,曇り,くもり,cloudy weather
1457560,曇る,くもる,"to become cloudy,to become dim"
1154330,暗い,くらい,gloomy
1044070,,クラス,class
1046810,,グラム,gram
1547720,来る,くる,to come
1323080,車,くるま,"car,vehicle"
1287410,黒,くろ,black
1287420,黒い,くろい,black
1252330,警官,けいかん,policeman
1579100,今朝,けさ,this morning
1350110,消す,けす,"to erase,to turn off power"
1254760,結構,けっこう,"splendid,enough"
1254790,結婚,けっこん,marriage
1255890,月曜日,げつようび,Monday
1263400,玄関,げんかん,entry hall
1260720,元気,げんき,"health, vitality"
1268060,五,ご,five
1273270,公園,こうえん,park
1592970,交差点,こうさてん,intersection
1280770,紅茶,こうちゃ,black tea
1272500,交番,こうばん,police box
1380440,声,こえ,voice
1049180,,コーヒー,coffee
1268990,午後,ごご,afternoon
1243850,九日,ここのか,"nine days, ninth day"
1243600,九つ,ここのつ,nine
1269060,午前,ごぜん,morning
1449540,答える,こたえる,to answer
1004500,,こちら,this person or way
1004500,,こっち,this person or way
1050390,,コップ,a glass
1579130,今年,ことし,this year
1264540,言葉,ことば,"word,language"
1307850,子供,こども,child
1270590,御飯,ごはん,"cooked rice,meal"
1289590,困る,こまる,to be worried
1289100,今月,こんげつ,this month
1289220,今週,こんしゅう,this week
1004880,,こんな,such
1289470,今晩,こんばん,this evening
1005110,,さあ,well…
1296970,財布,さいふ,wallet
1578010,魚,さかな,fish
1387210,先,さき,"the future,previous"
1297210,咲く,さく,to bloom
1297960,作文,さくぶん,"composition,writing"
1291330,差す,さす,"to stretch out hands,to raise an umbrella"
1299400,雑誌,ざっし,magazine
1291600,砂糖,さとう,sugar
1210360,寒い,さむい,cold
1293660,さ来年,さらいねん,year after next
1579350,三,さん,three
1303620,散歩,さんぽする,to stroll
1579470,四,し / よん,four
1576630,塩,しお,salt
1315920,時間,じかん,time
1304970,仕事,しごと,job
1318970,辞書,じしょ,dictionary
1381820,静か,しずか,quiet
1184140,下,した,below
1319210,七,しち / なな,seven
1320760,質問,しつもん,question
1318290,自転車,じてんしゃ,bicycle
1318400,自動車,じどうしゃ,automobile
1310730,死ぬ,しぬ,to die
1315140,字引,じびき,dictionary
1318610,自分,じぶん,oneself
1436560,閉まる,しまる,"to close,to be closed"
1508590,閉める,しめる,to close something
1436570,締める,しめる,to tie
1321900,写真,しゃしん,photograph
1061520,,シャツ,shirt
1061820,,シャワー,shower
1330290,授業,じゅぎょう,"lesson,class work"
1337270,宿題,しゅくだい,homework
1353320,上手,じょうず,skillful
1580480,丈夫,じょうぶ,"strong,durable"
1595020,,しょうゆ,soy sauce
1358550,食堂,しょくどう,dining hall
1420470,知る,しる,to know
1474900,白,しろ,white
1474910,白い,しろい,white
1362360,新聞,しんぶん,newspaper
1372190,水曜日,すいようび,Wednesday
1228260,吸う,すう,"to smoke,to suck"
1067470,,スカート,skirt
1277450,好き,すき,likeable
1348910,少ない,すくない,a few
1430620,,すぐに,instantly
1348870,少し,すこし,few
1554370,涼しい,すずしい,refreshing
1070790,,ストーブ,heater
1072590,,スプーン,spoon
1073210,,スポーツ,sport
1074260,,ズボン,trousers
1334040,住む,すむ,to live in
1073900,,スリッパ,slippers
1291800,座る,すわる,to sit
2147990,背,せ,"height,stature"
1379380,生徒,せいと,pupil
1074270,,セーター,"sweater,jumper"
1472740,背広,せびろ,business suit
1237680,狭い,せまい,narrow
2839962,,ゼロ,zero
1388740,千,せん,thousand
1387500,先月,せんげつ,last month
1387870,先週,せんしゅう,last week
1387990,先生,せんせい,"teacher,doctor"
1390980,洗濯,せんたく,washing
1396130,全部,ぜんぶ,all
1399790,掃除,そうじする,"to clean, to sweep"
1612860,,そうして/そして,and
1006780,,そちら,over there
1006780,,そっち,over there
1203250,外,そと,outside
1245290,空,そら,sky
1006980,,それから,after that
1406050,,それでは,in that situation
1413240,大学,だいがく,university
1413890,大使館,たいしかん,embassy
1414150,大丈夫,だいじょうぶ,all right
1413660,大好き,だいすき,to be very likeable
1414340,大切,たいせつ,important
1412640,台所,だいどころ,kitchen
1283190,高い,たかい,"tall, expensive"
1415870,,たくさん,many
1076190,,タクシー,taxi
1338180,出す,だす,to put out
1597040,立つ,たつ,to stand
1257540,建物,たてもの,building
1207240,楽しい,たのしい,enjoyable
1548370,頼む,たのむ,to ask
1597150,,たばこ,"tobacco,cigarettes"
1358340,食べ物,たべもの,food
1358280,食べる,たべる,to eat
1549140,卵,たまご,egg
1416830,誰,だれ,who
1416830,誰,だれか,somebody
1419110,誕生日,たんじょうび,birthday
